Crop,Market,Variety_Used,Model,Scope,MAE,RMSE,MAPE,N_Train,N_Test,Test_Start,Test_End
Onion,Kolhapur,Local,Naive_Previous_Price,naive,20.049,24.759,0.781,162,41,2026-06-01,2026-07-11
Onion,Kolhapur,Local,Moving_Average_3Day,naive,22.927,28.806,0.891,162,41,2026-06-01,2026-07-11
Onion,Kolhapur,Local,Linear_Regression,crop_specific,20.144,23.655,0.783,162,41,2026-06-01,2026-07-11
Onion,Kolhapur,Local,Random_Forest_Crop_Specific,crop_specific,36.612,43.48,1.422,162,41,2026-06-01,2026-07-11
Onion,Kolhapur,Local,XGBoost_Crop_Specific,crop_specific,25.719,32.776,1.004,162,41,2026-06-01,2026-07-11
Onion,Kolhapur,Local,Random_Forest_Combined,combined,21.679,25.796,0.844,162,41,2026-06-01,2026-07-11
Onion,Kolhapur,Local,XGBoost_Combined,combined,22.475,26.642,0.876,162,41,2026-06-01,2026-07-11
Onion,Nashik,Local,Naive_Previous_Price,naive,18.975,25.761,0.682,162,40,2026-06-01,2026-07-11
Onion,Nashik,Local,Moving_Average_3Day,naive,19.75,26.539,0.71,162,40,2026-06-01,2026-07-11
Onion,Nashik,Local,Linear_Regression,crop_specific,36.933,42.234,1.327,162,40,2026-06-01,2026-07-11
Onion,Nashik,Local,Random_Forest_Crop_Specific,crop_specific,57.46,64.914,2.057,162,40,2026-06-01,2026-07-11
Onion,Nashik,Local,XGBoost_Crop_Specific,crop_specific,85.921,91.803,3.081,162,40,2026-06-01,2026-07-11
Onion,Nashik,Local,Random_Forest_Combined,combined,55.067,62.819,1.971,162,40,2026-06-01,2026-07-11
Onion,Nashik,Local,XGBoost_Combined,combined,40.009,49.3,1.43,162,40,2026-06-01,2026-07-11
Onion,Pune,Local,Naive_Previous_Price,naive,19.39,25.361,0.758,162,41,2026-05-31,2026-07-11
Onion,Pune,Local,Moving_Average_3Day,naive,21.341,27.772,0.833,162,41,2026-05-31,2026-07-11
Onion,Pune,Local,Linear_Regression,crop_specific,25.066,31.163,0.975,162,41,2026-05-31,2026-07-11
Onion,Pune,Local,Random_Forest_Crop_Specific,crop_specific,26.509,33.173,1.033,162,41,2026-05-31,2026-07-11
Onion,Pune,Local,XGBoost_Crop_Specific,crop_specific,38.55,46.789,1.501,162,41,2026-05-31,2026-07-11
Onion,Pune,Local,Random_Forest_Combined,combined,19.008,24.732,0.742,162,41,2026-05-31,2026-07-11
Onion,Pune,Local,XGBoost_Combined,combined,19.665,25.216,0.769,162,41,2026-05-31,2026-07-11
Onion,Sangli,Local,Naive_Previous_Price,naive,19.146,23.549,0.793,162,41,2026-06-01,2026-07-11
Onion,Sangli,Local,Moving_Average_3Day,naive,22.26,26.512,0.925,162,41,2026-06-01,2026-07-11
