Model,MAE,RMSE,MAPE,MAPE_Excluded_Rows,Crop,Market,N_Train,N_Test,Train_Start,Train_End,Test_Start,Test_End,Variety_Used
Naive_Previous_Price,20.049,24.759,0.781,0,Onion,Kolhapur,162,41,2025-12-19,2026-05-31,2026-06-01,2026-07-11,Local
Moving_Average_3Day,22.927,28.806,0.891,0,Onion,Kolhapur,162,41,2025-12-19,2026-05-31,2026-06-01,2026-07-11,Local
Moving_Average_7Day,31.425,38.344,1.217,0,Onion,Kolhapur,162,41,2025-12-19,2026-05-31,2026-06-01,2026-07-11,Local
Linear_Regression,20.144,23.655,0.783,0,Onion,Kolhapur,162,41,2025-12-19,2026-05-31,2026-06-01,2026-07-11,Local
Naive_Previous_Price,18.975,25.761,0.682,0,Onion,Nashik,162,40,2025-12-19,2026-05-31,2026-06-01,2026-07-11,Local
Moving_Average_3Day,19.75,26.539,0.71,0,Onion,Nashik,162,40,2025-12-19,2026-05-31,2026-06-01,2026-07-11,Local
Moving_Average_7Day,28.107,33.637,1.01,0,Onion,Nashik,162,40,2025-12-19,2026-05-31,2026-06-01,2026-07-11,Local
Linear_Regression,36.933,42.234,1.327,0,Onion,Nashik,162,40,2025-12-19,2026-05-31,2026-06-01,2026-07-11,Local
Naive_Previous_Price,19.39,25.361,0.758,0,Onion,Pune,162,41,2025-12-17,2026-05-30,2026-05-31,2026-07-11,Local
Moving_Average_3Day,21.341,27.772,0.833,0,Onion,Pune,162,41,2025-12-17,2026-05-30,2026-05-31,2026-07-11,Local
Moving_Average_7Day,25.136,32.553,0.98,0,Onion,Pune,162,41,2025-12-17,2026-05-30,2026-05-31,2026-07-11,Local
Linear_Regression,25.066,31.163,0.975,0,Onion,Pune,162,41,2025-12-17,2026-05-30,2026-05-31,2026-07-11,Local
Naive_Previous_Price,19.146,23.549,0.793,0,Onion,Sangli,162,41,2025-12-19,2026-05-31,2026-06-01,2026-07-11,Local
Moving_Average_3Day,22.26,26.512,0.925,0,Onion,Sangli,162,41,2025-12-19,2026-05-31,2026-06-01,2026-07-11,Local
Moving_Average_7Day,31.944,37.296,1.333,0,Onion,Sangli,162,41,2025-12-19,2026-05-31,2026-06-01,2026-07-11,Local
Linear_Regression,25.234,31.872,1.051,0,Onion,Sangli,162,41,2025-12-19,2026-05-31,2026-06-01,2026-07-11,Local
Naive_Previous_Price,16.6,20.864,0.693,0,Onion,Satara,158,40,2025-12-18,2026-06-01,2026-06-02,2026-07-11,Local
Moving_Average_3Day,17.958,22.378,0.749,0,Onion,Satara,158,40,2025-12-18,2026-06-01,2026-06-02,2026-07-11,Local
Moving_Average_7Day,23.386,27.813,0.975,0,Onion,Satara,158,40,2025-12-18,2026-06-01,2026-06-02,2026-07-11,Local
Linear_Regression,21.927,27.043,0.915,0,Onion,Satara,158,40,2025-12-18,2026-06-01,2026-06-02,2026-07-11,Local
Naive_Previous_Price,19.926,24.786,2.02,0,Potato,Nashik,106,27,2026-02-26,2026-06-13,2026-06-14,2026-07-11,Local
Moving_Average_3Day,27.938,35.539,2.834,0,Potato,Nashik,106,27,2026-02-26,2026-06-13,2026-06-14,2026-07-11,Local
