Crop,Market,Overall_Confidence_Score,Confidence_Level,Component_Model_Accuracy_Score,Component_Data_Quality_Score,Component_Data_Freshness_Score,Component_Record_Count_Score,Component_Price_Volatility_Score,Low_Confidence_Warning
Onion,Kolhapur,97.5,High,98.4,99.8,100.0,90.0,97.1,
Onion,Nashik,97.6,High,98.6,99.7,100.0,90.0,97.7,
Onion,Pune,97.6,High,98.5,99.7,100.0,90.0,97.8,
Onion,Sangli,97.3,High,98.4,99.8,100.0,90.0,95.7,
Onion,Satara,97.2,High,98.6,99.5,100.0,87.8,97.7,
Potato,Nashik,90.2,High,96.0,94.6,100.0,58.9,92.7,
Potato,Pune,88.6,High,92.4,94.8,100.0,59.4,89.3,
Potato,Satara,89.2,High,93.3,94.6,100.0,58.9,92.0,
Soybean,Kolhapur,92.2,High,97.4,96.1,100.0,63.3,95.9,
Soybean,Satara,91.5,High,97.2,93.7,100.0,63.9,94.1,
Tomato,Kolhapur,89.8,High,86.8,99.8,100.0,81.1,82.1,
Tomato,Nashik,88.8,High,90.1,97.8,100.0,80.0,71.6,
Tomato,Pune,85.1,High,77.9,98.6,100.0,80.0,74.2,
Tomato,Sangli,91.1,High,90.9,99.6,100.0,80.0,82.7,
Tomato,Satara,91.7,High,90.5,99.7,100.0,81.1,86.4,
Wheat,Kolhapur,71.0,Medium,98.7,75.1,0.0,45.0,97.8,
Wheat,Pune,68.8,Medium,98.6,63.4,0.0,46.1,98.4,
Wheat,Satara,71.0,Medium,98.8,75.5,0.0,45.6,96.6,
