Crop,Market,Naive_MAE,Best_MA_Model,Best_MA_MAE,Selected_Model,Selected_Scope,Selected_MAE,Selected_RMSE,Selected_MAPE,Improvement_Over_Naive_Pct,Min_Improvement_Threshold_Pct
Onion,Kolhapur,20.049,Moving_Average_3Day,22.927,Naive_Previous_Price,naive,20.049,24.759,0.781,0.0,2.0
Onion,Nashik,18.975,Moving_Average_3Day,19.75,Naive_Previous_Price,naive,18.975,25.761,0.682,0.0,2.0
Onion,Pune,19.39,Moving_Average_3Day,21.341,Naive_Previous_Price,naive,19.39,25.361,0.758,0.0,2.0
Onion,Sangli,19.146,Moving_Average_3Day,22.26,Naive_Previous_Price,naive,19.146,23.549,0.793,0.0,2.0
Onion,Satara,16.6,Moving_Average_3Day,17.958,Naive_Previous_Price,naive,16.6,20.864,0.693,0.0,2.0
Potato,Nashik,19.926,Moving_Average_3Day,27.938,Naive_Previous_Price,naive,19.926,24.786,2.02,0.0,2.0
Potato,Pune,18.63,Moving_Average_3Day,27.086,Naive_Previous_Price,naive,18.63,25.179,3.779,0.0,2.0
Potato,Satara,22.741,Moving_Average_3Day,22.383,Naive_Previous_Price,naive,22.741,27.504,3.359,0.0,2.0
Soybean,Kolhapur,57.107,Moving_Average_3Day,66.369,Naive_Previous_Price,naive,57.107,69.378,1.304,0.0,2.0
Soybean,Satara,65.379,Moving_Average_3Day,76.517,Random_Forest_Crop_Specific,crop_specific,59.38,77.679,1.382,9.18,2.0
Tomato,Kolhapur,67.297,Moving_Average_3Day,84.721,Naive_Previous_Price,naive,67.297,80.675,6.615,0.0,2.0
Tomato,Nashik,73.944,Moving_Average_3Day,102.398,Naive_Previous_Price,naive,73.944,92.179,4.97,0.0,2.0
Tomato,Pune,67.722,Moving_Average_3Day,76.176,Naive_Previous_Price,naive,67.722,80.939,11.027,0.0,2.0
Tomato,Sangli,84.472,Moving_Average_3Day,110.296,Naive_Previous_Price,naive,84.472,100.619,4.549,0.0,2.0
Tomato,Satara,80.806,Moving_Average_3Day,94.898,Random_Forest_Combined,combined,77.418,97.934,4.763,4.19,2.0
Wheat,Kolhapur,15.95,Moving_Average_3Day,19.3,Naive_Previous_Price,naive,15.95,19.891,0.629,0.0,2.0
Wheat,Pune,18.667,Moving_Average_3Day,20.603,Naive_Previous_Price,naive,18.667,22.061,0.724,0.0,2.0
Wheat,Satara,13.429,Moving_Average_3Day,14.984,Random_Forest_Combined,combined,12.773,15.454,0.593,4.88,2.0
