Crop,Market,Variety_Used,Selected_Model_Name,Model_Scope,Model_File_Path,MAE,RMSE,MAPE,Improvement_Over_Naive_Pct,N_Train,N_Test,Train_Start,Train_End,Test_Start,Test_End,Date_Trained,Feature_List,Data_Quality_Score,Development_Data_Flag
Onion,Kolhapur,Local,Naive_Previous_Price,naive,N/A - no trained artifact (formula-based model),20.049,24.759,0.781,0.0,162,41,2025-12-19,2026-05-31,2026-06-01,2026-07-11,2026-07-21 05:13:40.560464,,99.8,"TRUE - trained on synthetic/sample development data, NOT real-world AGMARKNET data"
Onion,Nashik,Local,Naive_Previous_Price,naive,N/A - no trained artifact (formula-based model),18.975,25.761,0.682,0.0,162,40,2025-12-19,2026-05-31,2026-06-01,2026-07-11,2026-07-21 05:13:41.058148,,99.7,"TRUE - trained on synthetic/sample development data, NOT real-world AGMARKNET data"
Onion,Pune,Local,Naive_Previous_Price,naive,N/A - no trained artifact (formula-based model),19.39,25.361,0.758,0.0,162,41,2025-12-17,2026-05-30,2026-05-31,2026-07-11,2026-07-21 05:13:41.562411,,99.7,"TRUE - trained on synthetic/sample development data, NOT real-world AGMARKNET data"
Onion,Sangli,Local,Naive_Previous_Price,naive,N/A - no trained artifact (formula-based model),19.146,23.549,0.793,0.0,162,41,2025-12-19,2026-05-31,2026-06-01,2026-07-11,2026-07-21 05:13:42.046092,,99.8,"TRUE - trained on synthetic/sample development data, NOT real-world AGMARKNET data"
Onion,Satara,Local,Naive_Previous_Price,naive,N/A - no trained artifact (formula-based model),16.6,20.864,0.693,0.0,158,40,2025-12-18,2026-06-01,2026-06-02,2026-07-11,2026-07-21 05:13:42.528472,,99.5,"TRUE - trained on synthetic/sample development data, NOT real-world AGMARKNET data"
Potato,Nashik,Local,Naive_Previous_Price,naive,N/A - no trained artifact (formula-based model),19.926,24.786,2.02,0.0,106,27,2026-02-26,2026-06-13,2026-06-14,2026-07-11,2026-07-21 05:13:42.908578,,94.6,"TRUE - trained on synthetic/sample development data, NOT real-world AGMARKNET data"
Potato,Pune,Local,Naive_Previous_Price,naive,N/A - no trained artifact (formula-based model),18.63,25.179,3.779,0.0,107,27,2026-02-26,2026-06-14,2026-06-15,2026-07-11,2026-07-21 05:13:43.300108,,94.8,"TRUE - trained on synthetic/sample development data, NOT real-world AGMARKNET data"
Potato,Satara,Local,Naive_Previous_Price,naive,N/A - no trained artifact (formula-based model),22.741,27.504,3.359,0.0,106,27,2026-02-26,2026-06-14,2026-06-15,2026-07-11,2026-07-21 05:13:43.719387,,94.6,"TRUE - trained on synthetic/sample development data, NOT real-world AGMARKNET data"
Soybean,Kolhapur,Yellow,Naive_Previous_Price,naive,N/A - no trained artifact (formula-based model),57.107,69.378,1.304,0.0,114,28,2026-02-16,2026-06-12,2026-06-13,2026-07-11,2026-07-21 05:13:44.125128,,96.1,"TRUE - trained on synthetic/sample development data, NOT real-world AGMARKNET data"
Soybean,Satara,Yellow,Random_Forest_Crop_Specific,crop_specific,soybean_satara_random_forest.joblib,59.38,77.679,1.382,9.18,115,29,2026-02-16,2026-06-12,2026-06-13,2026-07-11,2026-07-21 05:13:44.562493,Season;Year;Month;Day;Day_Of_Week;Day_Of_Year;Quarter;lag_1;lag_3;lag_7;lag_14;rolling_mean_3;rolling_mean_7;rolling_mean_14;rolling_std_7;price_change_1d;price_change_7d,93.7,"TRUE - trained on synthetic/sample development data, NOT real-world AGMARKNET data"
Tomato,Kolhapur,Hybrid,Naive_Previous_Price,naive,N/A - no trained artifact (formula-based model),67.297,80.675,6.615,0.0,146,37,2026-01-07,2026-06-03,2026-06-04,2026-07-11,2026-07-21 05:13:45.030842,,99.8,"TRUE - trained on synthetic/sample development data, NOT real-world AGMARKNET data"
Tomato,Nashik,Hybrid,Naive_Previous_Price,naive,N/A - no trained artifact (formula-based model),73.944,92.179,4.97,0.0,144,36,2026-01-07,2026-06-03,2026-06-04,2026-07-11,2026-07-21 05:13:45.483647,,97.8,"TRUE - trained on synthetic/sample development data, NOT real-world AGMARKNET data"
Tomato,Pune,Hybrid,Naive_Previous_Price,naive,N/A - no trained artifact (formula-based model),67.722,80.939,11.027,0.0,144,36,2026-01-07,2026-06-05,2026-06-06,2026-07-11,2026-07-21 05:13:45.936704,,98.6,"TRUE - trained on synthetic/sample development data, NOT real-world AGMARKNET data"
Tomato,Sangli,Hybrid,Naive_Previous_Price,naive,N/A - no trained artifact (formula-based model),84.472,100.619,4.549,0.0,144,36,2026-01-07,2026-06-05,2026-06-06,2026-07-11,2026-07-21 05:13:46.380216,,99.6,"TRUE - trained on synthetic/sample development data, NOT real-world AGMARKNET data"
Tomato,Satara,Hybrid,Random_Forest_Combined,combined,combined_random_forest.joblib,77.418,97.934,4.763,4.19,146,36,2026-01-07,2026-06-03,2026-06-04,2026-07-11,2026-07-21 05:13:46.875036,Commodity;Market;Variety;District;Season;Year;Month;Day;Day_Of_Week;Day_Of_Year;Quarter;lag_1;lag_3;lag_7;lag_14;rolling_mean_3;rolling_mean_7;rolling_mean_14;rolling_std_7;price_change_1d;price_change_7d,99.7,"TRUE - trained on synthetic/sample development data, NOT real-world AGMARKNET data"
Wheat,Kolhapur,Lokwan,Naive_Previous_Price,naive,N/A - no trained artifact (formula-based model),15.95,19.891,0.629,0.0,81,20,2025-06-21,2025-09-13,2025-09-14,2025-10-04,2026-07-21 05:13:47.183066,,75.1,"TRUE - trained on synthetic/sample development data, NOT real-world AGMARKNET data"
Wheat,Pune,Lokwan,Naive_Previous_Price,naive,N/A - no trained artifact (formula-based model),18.667,22.061,0.724,0.0,83,21,2025-06-22,2025-09-13,2025-09-14,2025-10-04,2026-07-21 05:13:47.504007,,63.4,"TRUE - trained on synthetic/sample development data, NOT real-world AGMARKNET data"
Wheat,Satara,Lokwan,Random_Forest_Combined,combined,combined_random_forest.joblib,12.773,15.454,0.593,4.88,82,21,2025-06-21,2025-09-13,2025-09-14,2025-10-04,2026-07-21 05:13:47.828416,Commodity;Market;Variety;District;Season;Year;Month;Day;Day_Of_Week;Day_Of_Year;Quarter;lag_1;lag_3;lag_7;lag_14;rolling_mean_3;rolling_mean_7;rolling_mean_14;rolling_std_7;price_change_1d;price_change_7d,75.5,"TRUE - trained on synthetic/sample development data, NOT real-world AGMARKNET data"
