State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Is_Outlier
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-04,1993.0,2212.0,2110.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-05,2013.0,2237.0,2099.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-06,2035.0,2217.0,2129.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-07,2023.0,2199.0,2119.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-09,2074.0,2266.0,2162.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-10,2105.0,2311.0,2167.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-11,2074.0,2270.0,2187.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-12,2083.0,2298.0,2195.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-13,2046.0,2314.0,2185.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-14,2098.0,2297.0,2173.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-15,2099.0,2259.0,2152.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-16,2080.0,2296.0,2164.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-17,2111.0,2307.0,2172.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-18,2036.0,2231.0,2166.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-19,2068.0,2263.0,2141.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-20,2044.0,2267.0,2163.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-21,2122.0,2282.0,2197.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-22,2056.0,2297.0,2152.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-23,2125.0,2299.0,2190.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-24,2199.0,2388.0,2251.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-25,2111.0,2361.0,2254.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-26,2145.0,2331.0,2266.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-27,2164.0,2383.0,2272.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-28,2169.0,2455.0,2312.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-29,2204.0,2360.0,2299.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-30,2191.0,2390.0,2300.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-31,2273.0,2412.0,2328.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-01,2198.0,2444.0,2302.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-02,2176.0,2346.0,2261.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-03,2180.0,2347.0,2252.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-04,2230.0,2362.0,2294.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-05,2086.0,2313.0,2227.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-06,2117.0,2338.0,2225.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-08,2091.0,2301.0,2191.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-09,2120.0,2331.0,2191.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-10,2120.0,2260.0,2191.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-11,2084.0,2247.0,2190.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-12,2048.0,2271.0,2176.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-13,2020.0,2216.0,2110.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-14,2071.0,2205.0,2137.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-15,1988.0,2193.0,2102.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-16,2030.0,2149.0,2083.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-17,2053.0,2178.0,2106.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-18,2065.0,2255.0,2138.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-19,2010.0,2199.0,2125.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-20,2077.0,2211.0,2137.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-21,2022.0,2245.0,2155.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-22,2049.0,2236.0,2166.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-23,2130.0,2240.0,2181.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-24,2102.0,2226.0,2173.0,False
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-25,2089.0,2320.0,2181.0,False
