State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Maharashtra,Sangli,SANGLI,onion,Local,FAQ,04/12/2025,2089.0,2322.0,2212.0
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,05/12/2025,2143.0,2275.0,2209.0
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,06/12/2025,2196.0,2395.0,2248.0
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,07/12/2025,2135.0,2339.0,2268.0
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,08/12/2025,2176.0,2358.0,2256.0
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,09/12/2025,2151.0,2323.0,2244.0
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,10/12/2025,2140.0,2306.0,2219.0
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,11/12/2025,2131.0,2356.0,
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,12/12/2025,2120.0,2284.0,2229.0
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,13/12/2025,2082.0,2260.0,2193.0
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,14/12/2025,2060.0,2272.0,2178.0
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,15/12/2025,2109.0,2271.0,2171.0
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,16/12/2025,2110.0,2293.0,2191.0
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,17/12/2025,2056.0,2229.0,2161.0
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,18/12/2025,2120.0,2249.0,2179.0
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,19/12/2025,2128.0,2266.0,2183.0
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,20/12/2025,2014.0,2233.0,2147.0
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,21/12/2025,2051.0,2233.0,2129.0
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,22/12/2025,2080.0,2286.0,2137.0
