State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-12,2048.0,2271.0,2176.0
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-23,2130.0,2240.0,2181.0
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-03-06,2153.0,2331.0,2211.0
Maharashtra,Nashik,Nashik,Onion,Local,FAQ,2025-12-06,2371.0,2561.0,2434.0
Maharashtra,Pune,Pune,Onion,Local,FAQ,2026-06-04,2444.0,2653.0,2507.0
Maharashtra,Pune,Pune,Onion,Local,FAQ,2026-07-01,2100.0,2400.0,2250.0
Maharashtra,Pune,Pune,Onion,Local,FAQ,2026-07-02,2150.0,2420.0,2280.0
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,2026-02-10,2293.0,2500.0,2401.0
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,2026-03-15,2480.0,2676.0,2579.0
Maharashtra,Satara,Satara,Onion,Local,FAQ,2026-02-07,2128.0,2396.0,2265.0
Maharashtra,Pune,Pune,Potato,Local,FAQ,2026-05-22,843.0,1080.0,941.0
Maharashtra,Pune,Pune,Potato,Local,FAQ,2026-05-27,766.0,977.0,866.0
Maharashtra,Pune,Pune,Potato,Local,FAQ,2026-06-16,556.0,665.0,611.0
Maharashtra,Pune,Pune,Potato,Local,FAQ,2026-06-20,402.0,585.0,500.0
Maharashtra,Kolhapur,Kolhapur,Soybean,Yellow,FAQ,2026-03-19,3784.0,3930.0,3878.0
Maharashtra,Satara,Satara,Soybean,Yellow,FAQ,2026-02-23,4010.0,4204.0,4124.0
Maharashtra,Satara,Satara,Soybean,Yellow,FAQ,2026-03-12,4183.0,4411.0,4293.0
Maharashtra,Satara,Satara,Soybean,Yellow,FAQ,2026-06-10,4097.0,4359.0,4225.0
Maharashtra,Nashik,Nashik,Tomato,Hybrid,FAQ,2026-01-01,1194.0,1470.0,1331.0
Maharashtra,Nashik,Nashik,Tomato,Hybrid,FAQ,2026-04-06,1566.0,1724.0,1665.0
Maharashtra,Nashik,Nashik,Tomato,Hybrid,FAQ,2026-05-11,1817.0,2018.0,1924.0
Maharashtra,Nashik,Nashik,Tomato,Hybrid,FAQ,2026-05-18,1798.0,1987.0,1914.0
Maharashtra,Nashik,Nashik,Tomato,Hybrid,FAQ,2026-07-01,1400.0,1700.0,1550.0
Maharashtra,Pune,Pune,Tomato,Hybrid,FAQ,2026-02-07,1060.0,1266.0,1185.0
Maharashtra,Sangli,Sangli,Tomato,Hybrid,FAQ,2026-01-23,1388.0,1589.0,1516.0
Maharashtra,Sangli,Sangli,Tomato,Hybrid,FAQ,2026-04-29,1316.0,1490.0,1434.0
Maharashtra,Satara,Satara,Tomato,Hybrid,FAQ,2025-12-24,1387.0,1530.0,1449.0
Maharashtra,Satara,Satara,Tomato,Hybrid,FAQ,2026-02-06,1091.0,1277.0,1160.0
Maharashtra,Satara,Satara,Tomato,Hybrid,FAQ,2026-04-29,2243.0,2440.0,2336.0
Maharashtra,Satara,Satara,Tomato,Hybrid,FAQ,2026-05-07,2059.0,2198.0,2118.0
Maharashtra,Satara,Satara,Tomato,Hybrid,FAQ,2026-06-19,1527.0,1727.0,1646.0
Maharashtra,Kolhapur,Kolhapur,Wheat,Lokwan,FAQ,2025-06-14,2247.0,2506.0,2357.0
Maharashtra,Kolhapur,Kolhapur,Wheat,Lokwan,FAQ,2025-07-21,2406.0,2600.0,2505.0
Maharashtra,Kolhapur,Kolhapur,Wheat,Lokwan,FAQ,2025-09-21,2480.0,2632.0,2578.0
Maharashtra,Satara,Satara,Wheat,Lokwan,FAQ,2025-09-04,2055.0,2270.0,2122.0
