State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Rejection_Reason
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,2025-12-11,2131.0,2356.0,,Missing or non-numeric Modal_Price
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,2026-03-07,2287.0,2439.0,,Missing or non-numeric Modal_Price
Maharashtra,Sangli,Sangli,Onion,Local,FAQ,2026-03-13,2462.0,2674.0,,Missing or non-numeric Modal_Price
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2025-12-08,2047.0,2260.0,,Missing or non-numeric Modal_Price
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-01-07,2160.0,2369.0,,Missing or non-numeric Modal_Price
Maharashtra,Kolhapur,Kolhapur,Onion,Local,FAQ,2026-03-11,2079.0,2268.0,8864.0,Modal_Price outside Min/Max range
Maharashtra,Satara,Satara,Onion,Local,FAQ,2025-12-24,2188.0,2363.0,,Missing or non-numeric Modal_Price
Maharashtra,Satara,Satara,Onion,Local,FAQ,2026-01-14,2273.0,2541.0,,Missing or non-numeric Modal_Price
Maharashtra,Satara,Satara,Onion,Local,FAQ,2026-02-18,2136.0,2322.0,,Missing or non-numeric Modal_Price
Maharashtra,Satara,Satara,Onion,Local,FAQ,2026-02-19,2135.0,2362.0,,Missing or non-numeric Modal_Price
Maharashtra,Satara,Satara,Onion,Local,FAQ,2026-04-03,1958.0,2180.0,,Missing or non-numeric Modal_Price
Maharashtra,Satara,Satara,Onion,Local,FAQ,2026-05-05,2196.0,2349.0,,Missing or non-numeric Modal_Price
Maharashtra,Satara,Satara,Onion,Local,FAQ,2026-05-08,2275.0,2411.0,,Missing or non-numeric Modal_Price
Maharashtra,Satara,Satara,Onion,Local,FAQ,2026-05-26,2207.0,2450.0,,Missing or non-numeric Modal_Price
Maharashtra,Pune,Pune,Onion,Local,FAQ,2026-01-05,2375.0,2564.0,9944.0,Modal_Price outside Min/Max range
Maharashtra,Pune,Pune,Onion,Local,FAQ,2026-01-13,2387.0,2570.0,,Missing or non-numeric Modal_Price
Maharashtra,Pune,Pune,Onion,Local,FAQ,2026-03-10,2454.0,2651.0,,Missing or non-numeric Modal_Price
Maharashtra,Pune,Pune,Onion,Local,FAQ,2026-06-11,2452.0,2746.0,10388.0,Modal_Price outside Min/Max range
Maharashtra,Nashik,Nashik,Onion,Local,FAQ,2025-12-09,2336.0,2496.0,,Missing or non-numeric Modal_Price
Maharashtra,Nashik,Nashik,Onion,Local,FAQ,2026-02-21,2451.0,2708.0,,Missing or non-numeric Modal_Price
Maharashtra,Nashik,Nashik,Onion,Local,FAQ,2026-03-13,2656.0,2839.0,,Missing or non-numeric Modal_Price
Maharashtra,Nashik,Nashik,Onion,Local,FAQ,2026-06-02,2647.0,2911.0,,Missing or non-numeric Modal_Price
Maharashtra,Sangli,Sangli,Tomato,Hybrid,FAQ,2026-01-13,1340.0,1593.0,,Missing or non-numeric Modal_Price
Maharashtra,Sangli,Sangli,Tomato,Hybrid,FAQ,2026-02-06,1410.0,1682.0,,Missing or non-numeric Modal_Price
Maharashtra,Sangli,Sangli,Tomato,Hybrid,FAQ,2026-03-07,1323.0,1528.0,,Missing or non-numeric Modal_Price
Maharashtra,Sangli,Sangli,Tomato,Hybrid,FAQ,2026-03-31,1434.0,1624.0,,Missing or non-numeric Modal_Price
Maharashtra,Sangli,Sangli,Tomato,Hybrid,FAQ,2026-04-26,1287.0,1456.0,,Missing or non-numeric Modal_Price
Maharashtra,Sangli,Sangli,Tomato,Hybrid,FAQ,2026-05-01,1077.0,1267.0,,Missing or non-numeric Modal_Price
Maharashtra,Kolhapur,Kolhapur,Tomato,Hybrid,FAQ,2026-02-14,961.0,1132.0,,Missing or non-numeric Modal_Price
Maharashtra,Kolhapur,Kolhapur,Tomato,Hybrid,FAQ,2026-05-26,1404.0,1532.0,,Missing or non-numeric Modal_Price
Maharashtra,Kolhapur,Kolhapur,Tomato,Hybrid,FAQ,2026-06-30,927.0,1067.0,,Missing or non-numeric Modal_Price
Maharashtra,Satara,Satara,Tomato,Hybrid,FAQ,2026-03-29,2220.0,2443.0,,Missing or non-numeric Modal_Price
Maharashtra,Satara,Satara,Tomato,Hybrid,FAQ,2026-04-26,2257.0,2363.0,,Missing or non-numeric Modal_Price
Maharashtra,Satara,Satara,Tomato,Hybrid,FAQ,2026-06-15,1471.0,1647.0,,Missing or non-numeric Modal_Price
Maharashtra,Satara,Satara,Tomato,Hybrid,FAQ,2026-06-23,1559.0,1777.0,,Missing or non-numeric Modal_Price
Maharashtra,Pune,Pune,Tomato,Hybrid,FAQ,2025-12-31,1060.0,1303.0,,Missing or non-numeric Modal_Price
Maharashtra,Pune,Pune,Tomato,Hybrid,FAQ,2026-03-02,942.0,1140.0,,Missing or non-numeric Modal_Price
Maharashtra,Pune,Pune,Tomato,Hybrid,FAQ,2026-03-26,963.0,1078.0,,Missing or non-numeric Modal_Price
Maharashtra,Pune,Pune,Tomato,Hybrid,FAQ,2026-03-30,618.0,858.0,,Missing or non-numeric Modal_Price
Maharashtra,Pune,Pune,Tomato,Hybrid,FAQ,2026-04-16,224.0,412.0,,Missing or non-numeric Modal_Price
Maharashtra,Pune,Pune,Tomato,Hybrid,FAQ,2026-05-21,413.0,613.0,,Missing or non-numeric Modal_Price
Maharashtra,Pune,Pune,Tomato,Hybrid,FAQ,2026-05-25,335.0,528.0,,Missing or non-numeric Modal_Price
Maharashtra,Nashik,Nashik,Tomato,Hybrid,FAQ,2026-01-22,1627.0,1802.0,,Missing or non-numeric Modal_Price
Maharashtra,Nashik,Nashik,Tomato,Hybrid,FAQ,2026-02-17,2311.0,2495.0,9556.0,Modal_Price outside Min/Max range
Maharashtra,Nashik,Nashik,Tomato,Hybrid,FAQ,2026-03-27,1765.0,2030.0,7600.0,Modal_Price outside Min/Max range
Maharashtra,Nashik,Nashik,Tomato,Hybrid,FAQ,2026-05-07,2097.0,2377.0,,Missing or non-numeric Modal_Price
Maharashtra,Nashik,Nashik,Tomato,Hybrid,FAQ,2026-06-30,1258.0,1553.0,,Missing or non-numeric Modal_Price
Maharashtra,Nashik,Nashik,Tomato,Hybrid,FAQ,2026-07-09,766.0,957.0,,Missing or non-numeric Modal_Price
Maharashtra,Pune,Pune,Potato,Local,FAQ,2026-04-22,630.0,851.0,,Missing or non-numeric Modal_Price
Maharashtra,Pune,Pune,Potato,Local,FAQ,2026-05-13,674.0,939.0,,Missing or non-numeric Modal_Price
Maharashtra,Nashik,Nashik,Potato,Local,FAQ,2026-05-18,902.0,1073.0,,Missing or non-numeric Modal_Price
Maharashtra,Nashik,Nashik,Potato,Local,FAQ,2026-06-01,939.0,1210.0,,Missing or non-numeric Modal_Price
Maharashtra,Nashik,Nashik,Potato,Local,FAQ,2026-06-23,868.0,1053.0,,Missing or non-numeric Modal_Price
Maharashtra,Satara,Satara,Potato,Local,FAQ,2026-04-05,902.0,1165.0,,Missing or non-numeric Modal_Price
Maharashtra,Satara,Satara,Potato,Local,FAQ,2026-05-24,787.0,984.0,,Missing or non-numeric Modal_Price
Maharashtra,Satara,Satara,Potato,Local,FAQ,2026-06-09,687.0,847.0,,Missing or non-numeric Modal_Price
Maharashtra,Pune,Pune,Wheat,Lokwan,FAQ,2025-06-09,2331.0,2514.0,,Missing or non-numeric Modal_Price
Maharashtra,Pune,Pune,Wheat,Lokwan,FAQ,2025-08-16,2464.0,2681.0,,Missing or non-numeric Modal_Price
Maharashtra,Satara,Satara,Wheat,Lokwan,FAQ,2025-06-29,2143.0,2366.0,8972.0,Modal_Price outside Min/Max range
Maharashtra,Satara,Satara,Wheat,Lokwan,FAQ,2025-07-06,2239.0,2355.0,,Missing or non-numeric Modal_Price
Maharashtra,Satara,Satara,Wheat,Lokwan,FAQ,2025-08-10,2075.0,2320.0,,Missing or non-numeric Modal_Price
Maharashtra,Kolhapur,Kolhapur,Wheat,Lokwan,FAQ,2025-08-03,2382.0,2640.0,,Missing or non-numeric Modal_Price
Maharashtra,Kolhapur,Kolhapur,Wheat,Lokwan,FAQ,2025-08-15,2529.0,2734.0,,Missing or non-numeric Modal_Price
Maharashtra,Kolhapur,Kolhapur,Wheat,Lokwan,FAQ,2025-08-25,2505.0,2705.0,,Missing or non-numeric Modal_Price
Maharashtra,Kolhapur,Kolhapur,Wheat,Lokwan,FAQ,2025-09-03,2505.0,2746.0,,Missing or non-numeric Modal_Price
Maharashtra,Kolhapur,Kolhapur,Wheat,Lokwan,FAQ,2025-09-16,2440.0,2713.0,,Missing or non-numeric Modal_Price
Maharashtra,Kolhapur,Kolhapur,Soybean,Yellow,FAQ,2026-03-01,3916.0,4098.0,,Missing or non-numeric Modal_Price
Maharashtra,Kolhapur,Kolhapur,Soybean,Yellow,FAQ,2026-03-14,3959.0,4131.0,16192.0,Modal_Price outside Min/Max range
Maharashtra,Kolhapur,Kolhapur,Soybean,Yellow,FAQ,2026-05-27,3818.0,4080.0,,Missing or non-numeric Modal_Price
Maharashtra,Kolhapur,Kolhapur,Soybean,Yellow,FAQ,2026-06-14,4138.0,4369.0,17120.0,Modal_Price outside Min/Max range
Maharashtra,Kolhapur,Kolhapur,Soybean,Yellow,FAQ,2026-06-24,4177.0,4337.0,,Missing or non-numeric Modal_Price
Maharashtra,Satara,Satara,Soybean,Yellow,FAQ,2026-03-18,4554.0,4784.0,,Missing or non-numeric Modal_Price
Maharashtra,Satara,Satara,Soybean,Yellow,FAQ,2026-05-06,3969.0,4191.0,,Missing or non-numeric Modal_Price
Maharashtra,Pune,Pune,Onion,Local,FAQ,2025-06-05,-100.0,2000.0,1800.0,Min_Price is zero or negative
Maharashtra,Nashik,Nashik,Onion,Local,FAQ,2025-06-10,2500.0,2000.0,2200.0,Min_Price greater than Max_Price
Maharashtra,Satara,Satara,Potato,Local,FAQ,2025-06-15,900.0,1100.0,5000.0,Modal_Price outside Min/Max range
Maharashtra,Sangli,Sangli,Tomato,Hybrid,FAQ,,1200.0,1600.0,1400.0,Unparseable Arrival_Date
Maharashtra,Kolhapur,Kolhapur,Soybean,Yellow,FAQ,2030-01-01,4000.0,4300.0,4150.0,Arrival_Date is in the future
