State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,13/05/2026,1813.0,2053.0,1904.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,14/05/2026,1802.0,2004.0,1899.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,15/05/2026,1782.0,1980.0,1840.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,16/05/2026,1720.0,1914.0,1850.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,17/05/2026,1776.0,1942.0,1867.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,18/05/2026,1770.0,2026.0,1906.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,19/05/2026,1912.0,2068.0,1971.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,20/05/2026,1931.0,2071.0,2000.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,21/05/2026,1930.0,2091.0,2020.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,22/05/2026,1912.0,2164.0,2027.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,23/05/2026,1941.0,2170.0,2045.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,24/05/2026,1992.0,2141.0,2056.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,25/05/2026,1921.0,2201.0,
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,26/05/2026,1927.0,2057.0,1990.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,27/05/2026,1838.0,2089.0,1949.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,28/05/2026,1776.0,2037.0,1922.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,29/05/2026,1853.0,2026.0,1924.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,30/05/2026,1856.0,2086.0,1962.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,31/05/2026,1858.0,2090.0,1944.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,01/06/2026,1812.0,2032.0,1906.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,02/06/2026,1774.0,2020.0,1881.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,03/06/2026,1810.0,2053.0,1908.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,04/06/2026,1827.0,2058.0,1915.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,05/06/2026,1857.0,2054.0,1950.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,06/06/2026,1915.0,2067.0,2012.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,07/06/2026,1822.0,2054.0,1960.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,08/06/2026,1879.0,2004.0,1929.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,09/06/2026,1816.0,1996.0,1936.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,10/06/2026,1865.0,2003.0,1935.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,11/06/2026,1886.0,2064.0,1937.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,12/06/2026,1877.0,2025.0,1946.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,13/06/2026,1876.0,2119.0,1974.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,14/06/2026,1905.0,2079.0,1999.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,15/06/2026,1876.0,2029.0,1972.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,16/06/2026,1830.0,2010.0,1953.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,17/06/2026,1829.0,2044.0,1975.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,18/06/2026,1833.0,2078.0,1980.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,19/06/2026,1863.0,2073.0,1986.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,20/06/2026,1912.0,2127.0,1979.0
Maharashtra,Nashik,Nashik,Maize,Yellow,FAQ,21/06/2026,1879.0,2048.0,1939.0
